degrees,till border px,border km,land1 px,land1 km,sea1 px,sea1 km,land2 px,land2 km,sea2 px,sea2 km,land3 px,land3 km,sea3 px,sea3 km,land4 px,land4 km,sea4 px,sea4 km,land5 px,land5 km,sea5 px,sea5 km ,land6 px,land6 km,,
0,204,160.629921259843,border,0,,,,,,,,,,,,,,,,,,,,,,
5,204.7,161.181102362205,border,0,,,,,,,,,,,,,,,,,,,,,,
10,240,188.976377952756,border,0,,,,,,,,,,,,,,,,,,,,,,
15,243,191.338582677165,104.5,82.2834645669291,125.4,98.740157480315,border,0,,,,,,,,,,,,,,,,,,
20,246.7,194.251968503937,58.5,46.0629921259843,136.4,107.40157480315,border,0,,,,,,,,,,,,,,,,,,
25,270,212.59842519685,54.1,42.5984251968504,121.7,95.8267716535433,border,0,149,117.322834645669,border,0,,,,,,,,,,,,,,
30,280,220.472440944882,52.5,41.3385826771654,117.5,92.5196850393701,160,125.984251968504,168.1,132.362204724409,border,0,,,,,,,,,,,,,,
35,304.6,239.842519685039,53,41.7322834645669,117.6,92.5984251968504,border,0,,,,,,,,,,,,,,,,,,
40,340,267.716535433071,52.5,41.3385826771654,117,92.1259842519685,182.3,143.543307086614,188.4,148.346456692913,border,0,,,,,,,,,,,,,,
45,348.6,274.488188976378,50.2,39.5275590551181,120.9,95.1968503937008,198.7,156.456692913386,221.3,174.251968503937,border,0,,,,,,,,,,,,,,
50,368.4,290.07874015748,48.3,38.0314960629921,125.6,98.8976377952756,199.5,157.086614173228,228.5,179.92125984252,border,0,,,,,,,,,,,,,,
55,389.2,306.456692913386,48.8,38.4251968503937,121.2,95.4330708661417,126.2,99.3700787401575,145.7,114.724409448819,195.1,153.622047244094,294.1,231.574803149606,border,0,,,,,,,,,,
60,509.8,401.417322834646,51.1,40.236220472441,117,92.1259842519685,128.6,101.259842519685,157.3,123.858267716535,165.3,130.157480314961,193.1,152.047244094488,205.7,161.968503937008,267.6,210.708661417323,298.4,234.96062992126,356.7,280.866141732283,border,0,,
65,464.4,365.669291338583,51.9,40.8661417322835,116.8,91.9685039370079,130.2,102.51968503937,161.1,126.850393700787,173.1,136.299212598425,208.5,164.173228346457,218.3,171.889763779528,395,311.023622047244,border,0,,,,,,
70,418.2,329.291338582677,51.9,40.8661417322835,122.4,96.3779527559055,138.2,108.818897637795,161.6,127.244094488189,182.8,143.937007874016,211.6,166.614173228346,223.3,175.826771653543,418.2,329.291338582677,708.4,557.795275590551,,,,,,
75,415,326.771653543307,51.9,40.8661417322835,134.2,105.669291338583,145.3,114.409448818898,168.1,132.362204724409,179.3,141.181102362205,486.4,382.992125984252,531.1,418.188976377953,,,,,,,,,,
80,359.7,283.228346456693,52,40.9448818897638,359.6,283.149606299213,394,310.236220472441,419,329.92125984252,,,,,,,,,,,,,,,,
85,407.4,320.787401574803,52.2,41.1023622047244,287.2,226.141732283465,302.1,237.874015748032,309.2,243.464566929134,320.1,252.047244094488,405.8,319.527559055118,722,568.503937007874,,,,,,,,,,
90,407,320.472440944882,55,43.3070866141732,407,320.472440944882,537,422.834645669291,,,,,,,,,,,,,,,,,,
95,455.7,358.818897637795,56,44.0944881889764,280,220.472440944882,283.2,222.992125984252,472.7,372.204724409449,533,419.685039370079,,,,,,,,,,,,,,
100,488.6,384.724409448819,58.9,46.3779527559055,379.6,298.897637795276,414.1,326.062992125984,423.5,333.464566929134,447.8,352.59842519685,452.9,356.614173228346,461,362.992125984252,border,0,,,,,,,,
105,493.9,388.897637795276,73.5,57.8740157480315,184.4,145.196850393701,188.2,148.188976377953,493.6,388.661417322835,743,585.03937007874,,,,,,,,,,,,,,
110,459.3,361.653543307087,82.9,65.2755905511811,175.6,138.267716535433,184.1,144.96062992126,457.1,359.92125984252,487.2,383.622047244095,524.1,412.677165354331,763.6,601.259842519685,,,,,,,,,,
115,462.2,363.937007874016,96.2,75.748031496063,170.9,134.566929133858,176.7,139.133858267717,246.1,193.779527559055,260.4,205.03937007874,373.6,294.173228346457,375.8,295.905511811024,430.7,339.133858267717,453.2,356.850393700787,border,0,,,,
120,608.8,479.370078740157,110.6,87.0866141732283,131.2,103.307086614173,139.4,109.763779527559,156.8,123.464566929134,168.4,132.59842519685,533.1,419.763779527559,567.3,446.692913385827,border,0,,,,,,,,
125,657.5,517.716535433071,86,67.7165354330709,101.8,80.1574803149606,124,97.6377952755906,495.2,389.92125984252,511.6,402.834645669291,559.3,440.393700787402,569.3,448.267716535433,border,0,,,,,,,,
130,804.8,633.700787401575,75.3,59.2913385826772,108.6,85.511811023622,117.2,92.2834645669291,218.7,172.204724409449,254.2,200.157480314961,780,614.173228346457,800.1,630,938,738.582677165354,,,,,,,,
135,780,614.173228346457,74.2,58.4251968503937,102.5,80.7086614173228,114.6,90.236220472441,128,100.787401574803,284.3,223.858267716535,301.2,237.165354330709,333.8,262.834645669291,387.5,305.11811023622,426.4,335.748031496063,552.3,434.88188976378,556.5,438.188976377953,border,0
140,,,71.1,55.9842519685039,122.9,96.7716535433071,234.4,184.566929133858,254.5,200.393700787402,279.8,220.314960629921,421.8,332.125984251969,,,,,,,,,,,,
145,,,107.1,84.3307086614173,110.7,87.1653543307087,115.7,91.1023622047244,125.7,98.9763779527559,140.1,110.314960629921,201.7,158.818897637795,306.6,241.417322834646,,,,,,,,,,
150,,,117,92.1259842519685,123.7,97.4015748031496,126.8,99.8425196850394,163.1,128.425196850394,196.7,154.88188976378,201.2,158.425196850394,301.5,237.40157480315,,,,,,,,,,
155,,,115,90.5511811023622,123.1,96.9291338582677,129.8,102.204724409449,144.1,113.464566929134,260.9,205.433070866142,,,,,,,,,,,,,,
160,,,118.6,93.3858267716535,132.5,104.330708661417,218.6,172.125984251969,238.8,188.031496062992,255.9,201.496062992126,,,,,,,,,,,,,,
165,,,113.5,89.3700787401575,120.8,95.1181102362205,217.1,170.944881889764,,,,,,,,,,,,,,,,,,
170,,,111.5,87.7952755905512,119.5,94.0944881889764,195.8,154.173228346457,,,,,,,,,,,,,,,,,,
175,,,110.8,87.244094488189,117.8,92.755905511811,186.3,146.692913385827,,,,,,,,,,,,,,,,,,
180,,,174,137.007874015748,215,169.291338582677,459,361.417322834646,,,,,,,,,,,,,,,,,,
185,,,185.7,146.220472440945,209.8,165.196850393701,390.5,307.48031496063,,,,,,,,,,,,,,,,,,
190,,,185.8,146.299212598425,201.1,158.346456692913,410.5,323.228346456693,,,,,,,,,,,,,,,,,,
195,,,184.1,144.96062992126,196.5,154.724409448819,334.5,263.385826771654,,,,,,,,,,,,,,,,,,
200,,,190.1,149.685039370079,200.9,158.188976377953,309.7,243.858267716535,,,,,,,,,,,,,,,,,,
205,,,201.8,158.897637795276,231.7,182.44094488189,307.4,242.047244094488,,,,,,,,,,,,,,,,,,
210,,,212.8,167.55905511811,277.7,218.661417322835,292.1,230,,,,,,,,,,,,,,,,,,
245,,,172,135.433070866142,185.1,145.748031496063,207.3,163.228346456693,230.9,181.811023622047,254.1,200.07874015748,,,,,,,,,,,,,,
250,,,165.8,130.551181102362,195.4,153.858267716535,208.4,164.094488188976,222.3,175.03937007874,230.3,181.338582677165,,,,,,,,,,,,,,
